| Standard No   | Codex Standard Title                                                                                                                       | Food Cat. No.   |
|---------------|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------|
| 293-2008      | Tomatoes                                                                                                                                   | 04.2.1.1        |
| 294-2009      | Gochujang                                                                                                                                  | 04.2.2.7        |
| 296-2009      | Jams, Jellies and Marmalades                                                                                                               | 04.1.2.5        |
| 297-2009      | Certain Canned Vegetables                                                                                                                  | 04.2.2.4        |
| 298R-2009     | Fermented Soybean Paste (Regional Standard)                                                                                                | 12.9.1          |
| 299-2010      | Apples                                                                                                                                     | 04.1.1.1        |
| 300-2010      | Bitter Cassava                                                                                                                             | 04.2.1.1        |
| 301R-2011     | Edible Sago Flour (Regional Standard)                                                                                                      | 06.2.1          |
| 302-2011      | Fish Sauce                                                                                                                                 | 12.6.4          |
| 303-2011      | Tree Tomatoes                                                                                                                              | 04.2.1.1        |
| 304R-2011     | Culantro Coyote (Regional Standard)                                                                                                        | 04.2.1.1        |
| 305R-2011     | Lucuma (Regional Standard)                                                                                                                 | 04.1.1.1        |
| 306-2011      | Chilli Sauce                                                                                                                               | 12.6.2          |
| 307-2011      | Chilli Peppers                                                                                                                             | 04.2.1.1        |
| 308R-2011     | Harissa (Regional Standard)                                                                                                                | 04.2.2.6        |
| 309R-2011     | Halwa Tehenia (Regional Standard)                                                                                                          | 05.2.2          |
| 310-2013      | Pomegranate                                                                                                                                | 04.1.1.1        |
| 311-2013      | Smoke Fish, Smoke-Flavoured Fish and Smoke-Dried Fish                                                                                      | 09.2.5          |
| 312-2013      | Live Abalone and Raw Fresh Chilled or Frozen Abalone for Direct Consumption or for Further Processing (fresh)                              | 09.1.2          |
| 312-2013      | Live Abalone and Raw Fresh Chilled or Frozen Abalone for Direct Consumption or for Further Processing (frozen)                             | 09.2.1          |
| 313R-2013     | Tempe (Regional Standard)                                                                                                                  | 06.8.6          |
| 314R-2013     | Date Paste (Regional Standard)                                                                                                             | 04.1.2.8        |
| 315-2014      | Fresh and Quick Frozen Raw Scallop Products (fresh)                                                                                        | 09.1.2          |
| 315-2014      | Fresh and Quick Frozen Raw Scallop Products (frozen)                                                                                       | 09.2.1          |
| 316-2014      | Passion Fruit                                                                                                                              | 04.1.1.1        |
| 317-2014      | Durian                                                                                                                                     | 04.1.1.1        |
| 318-2014      | Okra                                                                                                                                       | 04.2.1.1        |
| 319-2015      | Certain Canned Fruits                                                                                                                      | 04.1.2.4        |
| 320-2015      | Quick Frozen Vegetables                                                                                                                    | 04.2.2.1        |
| 321-2015      | Ginseng Products (Dried Ginseng, Dried Steamed Ginseng, Ginseng Extract in Powdered Form, Steamed Ginseng Extract in Powdered Form)        | 04.2.2.2        |
| 321-2015      | Ginseng Products (Ginseng Extract, Steamed Ginseng Extract)                                                                                | 04.2.2.6        |
| 322R-2015     | Non-fermented Soybean Products (Plain Soybean Beverage, Composite/Flavoured Soybean Beverage, Soybean-Based Beverages) (Regional Standard) | 06.8.1          |
| 322R-2015     | Non-fermented Soybean Products (Dehydrated Soybean Curd Film) (Regional Standard)                                                          | 06.8.2          |
| 322R-2015     | Non-fermented Soybean Products (Semisolid Soybean Curd, Soybean Curd) (Regional Standard)                                                  | 06.8.3          |
| 322R-2015     | Non-fermented Soybean Products (Compressed Soybean Curd) (Regional Standard)                                                               | 06.8.4          |
| Standard No   | Codex Standard Title                                                                               | Food Cat. No.   |
|---------------|----------------------------------------------------------------------------------------------------|-----------------|
| 323R-2017     | Laver Products (Dried laver products and dried seasoned laver products) (Regional Standard)        | 04.2.2.2        |
| 323R-2017     | Laver Products (Roasted laver products and roasted seasoned laver products) (Regional Standard)    | 04.2.2.8        |
| 324R-2017     | Yacon (Regional Standard)                                                                          | 04.2.1.1        |
| 325R-2017     | Unrefined Shea Butter (Regional Standard)                                                          | 02.1.2          |
| 326-2017      | Black, White and Green Pepper                                                                      | 12.2.1          |
| 327-2017      | Cumin                                                                                              | 12.2.1          |
| 328-2017      | Dried Thyme                                                                                        | 12.2.1          |
| 329-2017      | Fish oils                                                                                          | 02.1.3          |
| 330-2018      | Aubergines (untreated)                                                                             | 04.2.1.1        |
| 330-2018      | Aubergines (surface-treated)                                                                       | 04.2.1.2        |
| 331-2017      | Dairy Permeate Powders                                                                             | 01.8.2          |
| 332R-2018     | Doogh (Regional Standard) (plain, not heat treated)                                                | 01.2.1.1        |
| 332R-2018     | Doogh (Regional Standard) (plain, heat treated)                                                    | 01.2.1.2        |
| 332R-2018     | Doogh (Regional Standard) (flavoured, heat treated and not heat treated)                           | 01.1.4          |
| 333-2019      | Quinoa                                                                                             | 06.1            |
| 334R-2020     | Fermented cooked cassava-based products (Regional Standard)                                        | 04.2.2.8        |
| 335R-2020     | Fresh leaves of Gnetum spp. (Regional Standard)                                                    | 04.2.1.1        |
| 336R-2020     | Kava products for use as a beverage when mixed with water (Regional Standard): Fresh Kava Products | 04.2.1.1        |
| 336R-2020     | Kava products for use as a beverage when mixed with water (Regional Standard): Dried Kava Products | 04.2.2.2        |
| 337-2020      | Fresh garlic (untreated)                                                                           | 04.2.1.1        |
| 337-2020      | Fresh garlic (surface-treated)                                                                     | 04.2.1.2        |
| 338-2020      | Kiwifruit                                                                                          | 04.1.1.1        |
| 339-2020      | Ware potatoes (untreated)                                                                          | 04.2.1.1        |
| 339-2020      | Ware potatoes (surface-treated)                                                                    | 04.2.1.2        |
| 340-2020      | Yam                                                                                                | 04.2.1.1        |
| 341R-2020     | Mixed zaatar (Regional Standard)                                                                   | 04.2.2.2        |
| 342-2021      | Dried oregano                                                                                      | 12.2.1          |
| 343-2021      | Dried or dehydrated ginger                                                                         | 12.2.1          |
| 344-2021      | Cloves                                                                                             | 12.2.1          |
| 345-2021      | Dried basil                                                                                        | 12.2.1          |
| 347-2019      | Dried or dehydrated garlic                                                                         | 12.2.1          |
| 348-2022      | Onions and Shallots                                                                                | 04.2.1.1        |
| 349-2022      | Berry Fruits                                                                                       | 04.1.1.1        |
| 351-2022      | Dried Floral Parts - Saffron                                                                       | 12.2.1          |
| 352-2022      | Dried Seeds - Nutmeg                                                                               | 12.2.1          |
| 353-2022      | Dried or Dehydrated Chilli Pepper and Paprika                                                      | 12.2.1          |
| 350R-2022     | Dried Meat                                                                                         | 08.2.           |
| 354R-2023     | Soybean Products Fermented with Bacillus Species                                                   | 06.8.6          |
| Standard No   | Codex Standard Title                                                                                   | Food Cat. No.   |
|---------------|--------------------------------------------------------------------------------------------------------|-----------------|
| 355R-2023     | Cooked Rice Wrapped in Plant Leaves                                                                    | 06.7            |
| 356R-2023     | Fermented Noni Fruit Juice                                                                             | 14.1.2.1        |
| 357-2024      | Spices derived from dried or dehydrated fruits and berries - small cardamom                            | 12.2.1          |
| 358-2024      | Spices derived from dried or dehydrated fruits and berries - allspice, juniper berry and star anise    | 12.2.1          |
| 359-2024      | Spices derived from dried or dehydrated roots, rhizomes and bulbs - turmeric                           | 12.2.1          |
| 360-2020      | Dried Fruits (dried apricots, dates, raisins, dried longans, dried persimmons and other dried fruits)  | 04.1.2.2        |
| 361-2020      | Canned mixed fruits (canned fruit cocktail, canned tropical fruit salad and other canned mixed fruits) | 04.1.2.4        |
| CXG 95- 2022  | Ready-to-Use Therapeutic Foods                                                                         | 13.3            |
Annex C sorted by Codex Standard Title
| Standard No   | Codex Standard Title                                                                                   | Food Cat. No.   |
|---------------|--------------------------------------------------------------------------------------------------------|-----------------|
| 299-2010      | Apples                                                                                                 | 04.1.1.1        |
| 240-2003      | Aqueous Coconut Products (coconut milk and coconut cream)                                              | 04.1.2.8        |
| 225-2001      | Asparagus                                                                                              | 04.2.1.1        |
| 330-2018      | Aubergines (surface-treated)                                                                           | 04.2.1.2        |
| 330-2018      | Aubergines (untreated)                                                                                 | 04.2.1.1        |
| 197-1995      | Avocado                                                                                                | 04.2.1.1        |
| 188-1993      | Baby Corn                                                                                              | 04.2.1.1        |
| 205-1997      | Bananas                                                                                                | 04.1.1.1        |
| 349-2022      | Berry Fruits                                                                                           | 04.1.1.1        |
| 300-2010      | Bitter Cassava                                                                                         | 04.2.1.1        |
| 326-2017      | Black, White and Green Pepper                                                                          | 12.2.1          |
| 250-2006      | Blend of Evaporated Skimmed Milk and Vegetable Fat                                                     | 01.3.2          |
| 251-2006      | Blend of Skimmed Milk and Vegetable Fat in Powdered Form                                               | 01.5.2          |
| 252-2006      | Blend of Sweetened Condensed Milk and Vegetable Fat                                                    | 01.3.2          |
| 236-2003      | Boiled Dried Salted Anchovies                                                                          | 09.2.5          |
| 227-2001      | Bottled/Packaged Drinking Waters (other than natural mineral water)                                    | 14.1.1.2        |
| 117-1981      | Bouillon and Consommés                                                                                 | 12.5            |
| 277-1973      | Brie                                                                                                   | 01.6.2.1        |
| 279-1971      | Butter                                                                                                 | 02.2.1          |
| 276-1973      | Camembert                                                                                              | 01.6.2.1        |
| 17-1981       | Canned Applesauce                                                                                      | 04.1.2.4        |
| 73-1981       | Canned Baby Foods                                                                                      | 13.2            |
| 241-2003      | Canned Bamboo Shoots                                                                                   | 04.2.2.4        |
| 145-1985      | Canned Chestnuts and Canned Chestnut Puree                                                             | 04.2.2.4        |
| 88-1981       | Canned Corned Beef                                                                                     | 08.3.2          |
| 90-1981       | Canned Crab Meat                                                                                       | 09.4            |
| 119-1981      | Canned Finfish                                                                                         | 09.4            |
| 258R-2007     | Canned Foul Medames (Regional Standard)                                                                | 04.2.2.4        |
| 257R-2007     | Canned Humus with Tehena (Regional Standard)                                                           | 04.2.2.4        |
| 361-2020      | Canned mixed fruits (canned fruit cocktail, canned tropical fruit salad and other canned mixed fruits) | 04.1.2.4        |
| 60-1981       | Canned Raspberries                                                                                     | 04.1.2.4        |
| 3-1981        | Canned Salmon                                                                                          | 09.4            |
| 94-1981       | Canned Sardines and Sardine-Type Products                                                              | 09.4            |
| 37-1981       | Canned Shrimps or Prawns                                                                               | 09.4            |
| 242-2003      | Canned Stone Fruits                                                                                    | 04.1.2.4        |
| 62-1987       | Canned Strawberries                                                                                    | 04.1.2.4        |
| 70-1981       | Canned Tuna and Bonito                                                                                 | 09.4            |
| 226-2001      | Cape Gooseberry                                                                                        | 04.1.1.1        |
| 187-1993      | Carambola                                                                                              | 04.1.1.1        |
| 254-2007      | Certain Canned Citrus Fruits                                                                           | 04.1.2.4        |
| Standard No   | Codex Standard Title                                                                                                                                                                        | Food Cat. No.   |
|---------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------|
| 319-2015      | Certain Canned Fruits                                                                                                                                                                       | 04.1.2.4        |
| 297-2009      | Certain Canned Vegetables                                                                                                                                                                   | 04.2.2.4        |
| 171-1989      | Certain Pulses                                                                                                                                                                              | 04.2.1.1        |
| 216-1999      | Chayotes                                                                                                                                                                                    | 04.1.1.1        |
| 263-1966      | Cheddar                                                                                                                                                                                     | 01.6.2.1        |
| 283-1978      | Cheese (ripened, including mould ripened)                                                                                                                                                   | 01.6.2.1        |
| 208-1999      | Cheeses in Brine                                                                                                                                                                            | 01.6.2.1        |
| 307-2011      | Chilli Peppers                                                                                                                                                                              | 04.2.1.1        |
| 306-2011      | Chilli Sauce                                                                                                                                                                                | 12.6.2          |
| 87-1981       | Chocolate and Chocolate Products                                                                                                                                                            | 05.1.4          |
| 344-2021      | Cloves                                                                                                                                                                                      | 12.2.1          |
| 141-1983      | Cocoa (Cacao) Mass (Cocoa/Chocolate Liquor) and Cocoa Cake                                                                                                                                  | 05.1.1          |
| 86-1981       | Cocoa Butters                                                                                                                                                                               | 05.1.3          |
| 105-1981      | Cocoa Powders (Cocoa) and Dry Mixtures of Cocoa and Sugar                                                                                                                                   | 05.1.1          |
| 98-1981       | Cooked Cured Chopped Meat                                                                                                                                                                   | 08.3.2          |
| 96-1981       | Cooked Cured Ham                                                                                                                                                                            | 08.2.2          |
| 97-1981       | Cooked Cured Pork Shoulder                                                                                                                                                                  | 08.2.2          |
