| Standard No   | Codex Standard Title                           | Food Cat. No.   |
|---------------|------------------------------------------------|-----------------|
| 163-1987      | Wheat Protein Products, Including Wheat Gluten | 12.10           |
| 284-1971      | Whey Cheeses (whey cheese)                     | 01.6.3          |
| 284-1971      | Whey Cheeses (whey protein cheese)             | 01.6.6          |
| 289-1995      | Whey Powders                                   | 01.8.2          |
| 169-1989      | Whole and Decorticated Pearl Millet Grains     | 06.1            |
| 154-1985      | Whole Maize (Corn) Meal                        | 06.2.1          |
| 324R-2017     | Yacon (Regional Standard)                      | 04.2.1.1        |
| 340-2020      | Yam                                            | 04.2.1.1        |
Annex C sorted by GSFA Food Category Number
| Standard No   | Codex Standard Title                                                                                                                                                                        | Food Cat. No.   |
|---------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------|
| 243-2003      | Fermented Milks (drinks based on fermented milk, (plain))                                                                                                                                   | 01.2.1          |
| 243-2003      | Fermented Milks (drinks based on fermented milk (plain, not heat treated))                                                                                                                  | 01.2.1.1        |
| 281-1971      | Evaporated milks                                                                                                                                                                            | 01.3.1          |
| 282-1971      | Sweetened Condensed Milks                                                                                                                                                                   | 01.3.1          |
| 332R-2018     | Doogh (Regional Standard) (plain, not heat treated)                                                                                                                                         | 01.2.1.1        |
| 243-2003      | Fermented Milks (drinks based on fermented milk, flavoured, heat treated or not heat treated)                                                                                               | 01.1.4          |
| 243-2003      | Fermented Milks (drinks based on fermented milk (plain, heat treated))                                                                                                                      | 01.2.1.2        |
| 250-2006      | Blend of Evaporated Skimmed Milk and Vegetable Fat                                                                                                                                          | 01.3.2          |
| 252-2006      | Blend of Sweetened Condensed Milk and Vegetable Fat                                                                                                                                         | 01.3.2          |
| 288-1976      | Cream and Prepared Creams (prepackaged pasteurized liquid cream, including those made from reconstituted or recombined cream)                                                               | 01.4.1          |
| 332R-2018     | Doogh (Regional Standard) (plain, heat treated)                                                                                                                                             | 01.2.1.2        |
| 332R-2018     | Doogh (Regional Standard) (flavoured, heat treated and not heat treated)                                                                                                                    | 01.1.4          |
| 207-1999      | Milk Powders and Cream Powders                                                                                                                                                              | 01.5.1          |
| 288-1976      | Cream and Prepared Creams (prepackaged sterilized and UHT cream, whipping cream, cream packaged under pressure, whipped cream, including those made from reconstituted or recombined cream) | 01.4.2          |
| 290-1995      | Edible Casein Products                                                                                                                                                                      | 01.5.1          |
| 221-2001      | Unripened Cheese, including Fresh Cheese                                                                                                                                                    | 01.6.1          |
| 243-2003      | Fermented Milks (flavoured, heat treated and non-heat treated)                                                                                                                              | 01.7            |
| 251-2006      | Blend of Skimmed Milk and Vegetable Fat in Powdered Form                                                                                                                                    | 01.5.2          |
| 262-2006      | Mozzarella                                                                                                                                                                                  | 01.6.1          |
| 273-1968      | Cottage Cheese                                                                                                                                                                              | 01.6.1          |
| 275-1973      | Cream Cheese (Rahmfrischkäse)                                                                                                                                                               | 01.6.1          |
| 288-1976      | Cream and Prepared Creams (fermented cream, acidified cream, including those made from reconstituted or recombined cream)                                                                   | 01.4.3          |
| 208-1999      | Cheeses in Brine                                                                                                                                                                            | 01.6.2.1        |
| 263-1966      | Cheddar                                                                                                                                                                                     | 01.6.2.1        |
| 264-1966      | Danbo                                                                                                                                                                                       | 01.6.2.1        |
| 265-1966      | Edam                                                                                                                                                                                        | 01.6.2.1        |
| 266-1966      | Gouda                                                                                                                                                                                       | 01.6.2.1        |
| 267-1966      | Havarti                                                                                                                                                                                     | 01.6.2.1        |
| 268-1966      | Samsoe                                                                                                                                                                                      | 01.6.2.1        |
| 269-1967      | Emmental                                                                                                                                                                                    | 01.6.2.1        |
| 270-1968      | Tilsiter                                                                                                                                                                                    | 01.6.2.1        |
| 271-1968      | Saint Paulin                                                                                                                                                                                | 01.6.2.1        |
| 272-1968      | Provolone                                                                                                                                                                                   | 01.6.2.1        |
| 274-1969      | Coulommiers                                                                                                                                                                                 | 01.6.2.1        |
| 276-1973      | Camembert                                                                                                                                                                                   | 01.6.2.1        |
| Standard No   | Codex Standard Title                                                                          | Food Cat. No.   |
|---------------|-----------------------------------------------------------------------------------------------|-----------------|
| 277-1973      | Brie                                                                                          | 01.6.2.1        |
| 278-1978      | Extra Hard Grating Cheese                                                                     | 01.6.2.1        |
| 283-1978      | Cheese (ripened, including mould ripened)                                                     | 01.6.2.1        |
| 284-1971      | Whey Cheeses (whey cheese)                                                                    | 01.6.3          |
| 289-1995      | Whey Powders                                                                                  | 01.8.2          |
| 331-2017      | Dairy Permeate Powders                                                                        | 01.8.2          |
| 19-1981       | Edible Fats and Oils Not Covered by Individual Standards (General Standard)                   | 02.1            |
| 280-1973      | Milkfat Products                                                                              | 02.1.1          |
| 284-1971      | Whey Cheeses (whey protein cheese)                                                            | 01.6.6          |
| 33-1981       | Olive Oil, Virgin and Refined, and Refined Olive Pomace Oil, Olive Oils and Olive Pomace Oils | 02.1.2          |
| 210-1999      | Named Vegetable Oils                                                                          | 02.1.2          |
| 279-1971      | Butter                                                                                        | 02.2.1          |
| 325R-2017     | Unrefined Shea Butter (Regional Standard)                                                     | 02.1.2          |
| 211-1999      | Named Animal Fats                                                                             | 02.1.3          |
| 253-2006      | Dairy Fat Spreads                                                                             | 02.2.2          |
| 256-2007      | Fat Spreads and Blended Spreads                                                               | 02.2.2          |
