| FoodCatNo   | FoodCategory                                                                                                                                                     | MaxLevel   | Notes                                                           |   Year Adopted |
|-------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------|-----------------------------------------------------------------|----------------|
| 08.2        | Processed meat, poultry, and game products in whole pieces or cuts                                                                                               | 300mg/kg   | 16, XS96 & XS97                                                 |           2014 |
| 08.3.1.1    | Cured (including salted) non-heat treated processed comminuted meat, poultry, and game products                                                                  | 300mg/kg   | 16                                                              |           2008 |
| 08.3.1.2    | Cured (including salted) and dried non-heat treated processed comminuted meat, poultry, and game products                                                        | 135mg/kg   |                                                                 |           2008 |
| 08.3.1.3    | Fermented non-heat treated processed comminuted meat, poultry, and game products                                                                                 | 300mg/kg   | 16                                                              |           2008 |
| 08.3.2      | Heat-treated processed comminuted meat, poultry, and game products                                                                                               | 300mg/kg   | 16, XS88, XS89 & XS98                                           |           2014 |
| 08.3.3      | Frozen processed comminuted meat, poultry, and game products                                                                                                     | 300mg/kg   | 16                                                              |           2008 |
| 08.4        | Edible casings (e.g. sausage casings)                                                                                                                            | 300mg/kg   | 16                                                              |           2008 |
| 09.1.1      | Fresh fish                                                                                                                                                       | 300mg/kg   | 4, 16 & 50                                                      |           2008 |
| 09.1.2      | Fresh mollusks, crustaceans, and echinoderms                                                                                                                     | 300mg/kg   | 4, 16, XS292, XS312 & XS315                                     |           2017 |
| 09.2.1      | Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms                                                                   | 300mg/kg   | 95, XS36, XS92, XS95, XS165, XS190, XS191, XS292, XS312 & XS315 |           2017 |
| 09.2.2      | Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms                                                          | 300mg/kg   | 16 & XS166                                                      |           2017 |
| 09.2.3      | Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms                                                                        | 300mg/kg   | 16 & 95                                                         |           2008 |
| 09.2.4.1    | Cooked fish and fish products                                                                                                                                    | 300mg/kg   | 95                                                              |           2008 |
| 09.2.4.2    | Cooked mollusks, crustaceans, and echinoderms                                                                                                                    | 250mg/kg   |                                                                 |           2008 |
| 09.2.4.3    | Fried fish and fish products, including mollusks, crustaceans, and echinoderms                                                                                   | 300mg/kg   | 16                                                              |           2008 |
| 09.2.5      | Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms                                                 | 100mg/kg   | 382, XS167, XS189, XS222, XS236 & XS244                         |           2018 |
| 09.3.1      | Fish and fish products, including mollusks, crustaceans, and echinoderms, marinated and/or in jelly                                                              | 300mg/kg   | 16                                                              |           2008 |
| 09.3.2      | Fish and fish products, including mollusks, crustaceans, and echinoderms, pickled and/or in brine                                                                | 300mg/kg   | 16                                                              |           2008 |
| 09.3.3      | Salmon substitutes, caviar, and other fish roe products                                                                                                          | 300mg/kg   | XS291                                                           |           2018 |
| 09.3.4      | Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms (e.g. fish paste), excluding products of food categories 09.3.1 - 09.3.3 | 300mg/kg   |                                                                 |           2008 |
| 09.4        | Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms                                          | 300mg/kg   | 95, 435, XS3, XS70, XS90, XS94 & XS119                          |           2018 |
| 10.1        | Fresh eggs                                                                                                                                                       | GMP        | 4                                                               |           2008 |
| 10.4        | Egg-based desserts (e.g. custard)                                                                                                                                | 50mg/kg    |                                                                 |           2008 |
| 12.2.2      | Seasonings and condiments                                                                                                                                        | 300mg/kg   |                                                                 |           2008 |
| 12.4        | Mustards                                                                                                                                                         | 300mg/kg   |                                                                 |           2008 |
| 12.5        | Soups and broths                                                                                                                                                 | 50mg/kg    |                                                                 |           2008 |
| 12.6        | Sauces and like products                                                                                                                                         | 300mg/kg   | XS302                                                           |           2018 |
| FoodCatNo   | FoodCategory                                                                                                         | MaxLevel   | Notes   |   Year Adopted |
|-------------|----------------------------------------------------------------------------------------------------------------------|------------|---------|----------------|
| 13.3        | Dietetic foods intended for special medical purposes (excluding products of food category 13.1)                      | 50mg/kg    | 566     |           2023 |
| 13.4        | Dietetic formulae for slimming purposes and weight reduction                                                         | 50mg/kg    |         |           2008 |
| 13.5        | Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6 | 300mg/kg   |         |           2008 |
| 13.6        | Food supplements                                                                                                     | 300mg/kg   |         |           2008 |
| 14.1.4      | Water-based flavoured drinks, including "sport," "energy," or "electrolyte" drinks and particulated drinks           | 100mg/kg   | 127     |           2021 |
| 14.2.6      | Distilled spirituous beverages containing more than 15% alcohol                                                      | 200mg/kg   |         |           2008 |
