Food Category No.
01.2.1.2 Fermented milks (plain), heat-treated after
fermentation
| Additive                                                          | INS     |   Year Adopted | Max Level   | Notes     |
|-------------------------------------------------------------------|---------|----------------|-------------|-----------|
| ACETYLATED DISTARCH ADIPATE                                       | 1422    |           2013 | GMP         | 234       |
| ACETYLATED DISTARCH PHOSPHATE                                     | 1414    |           2013 | GMP         | 234       |
| ACETYLATED OXIDIZED STARCH                                        | 1451    |           2024 | GMP         | 234 & 634 |
| ACID-TREATED STARCH                                               | 1401    |           2013 | GMP         | 234       |
| ADIPATES                                                          | 355     |           2016 | 1500mg/kg   | 1         |
| AGAR                                                              | 406     |           2015 | GMP         | 234       |
| ALGINIC ACID                                                      | 400     |           2013 | GMP         | 234       |
| ALKALINE TREATED STARCH                                           | 1402    |           2013 | GMP         | 234       |
| AMMONIUM ALGINATE                                                 | 403     |           2013 | GMP         | 234       |
| AMMONIUM CARBONATE                                                | 503(i)  |           2024 | GMP         | 630       |
| AMMONIUM HYDROGEN CARBONATE                                       | 503(ii) |           2024 | GMP         | 630       |
| AMMONIUM HYDROXIDE                                                | 527     |           2013 | GMP         |           |
| BLEACHED STARCH                                                   | 1403    |           2013 | GMP         | 234       |
| CALCIUM ACETATE                                                   | 263     |           2024 | GMP         | 630       |
| CALCIUM ALGINATE                                                  | 404     |           2013 | GMP         | 234       |
| CALCIUM CARBONATE                                                 | 170(i)  |           2013 | GMP         | 625       |
| CALCIUM CHLORIDE                                                  | 509     |           2024 | GMP         | 234 & 634 |
| CALCIUM GLUCONATE                                                 | 578     |           2024 | GMP         | 630       |
| CALCIUM HYDROXIDE                                                 | 526     |           2024 | GMP         | 631       |
| CALCIUM LACTATE                                                   | 327     |           2024 | GMP         | 631       |
| CALCIUM MALATE, D,L-                                              | 352(ii) |           2024 | GMP         | 630       |
| CALCIUM OXIDE                                                     | 529     |           2013 | GMP         |           |
| CALCIUM SULFATE                                                   | 516     |           2024 | GMP         | 630       |
| CARBON DIOXIDE                                                    | 290     |           2024 | GMP         | 59 & 628  |
| CAROB BEAN GUM                                                    | 410     |           2013 | GMP         | 234       |
| CARRAGEENAN                                                       | 407     |           2015 | GMP         | 234       |
| CITRIC ACID                                                       | 330     |           2024 | GMP         | 631       |
| CITRIC AND FATTY ACID ESTERS OF GLYCEROL                          | 472c    |           2013 | GMP         | 234       |
| CROSS-LINKED CARBOXYMETHYL CELLULOSE (CROSS-LINKED CELLULOSE GUM) | 468     |           2024 | GMP         | 634       |
| CYCLODEXTRIN, BETA-                                               | 459     |           2024 | 5mg/kg      | 234 & 634 |
| DEXTRINS, ROASTED STARCH                                          | 1400    |           2013 | GMP         | 234       |
| DIACETYLTARTARIC AND FATTY ACID ESTERS OF GLYCEROL                | 472e    |           2024 | 5000mg/kg   | XS243     |
| DISTARCH PHOSPHATE                                                | 1412    |           2013 | GMP         | 234       |
| ETHYL HYDROXYETHYL CELLULOSE                                      | 467     |           2024 | GMP         | 234 & 634 |
| FUMARIC ACID                                                      | 297     |           2024 | GMP         | 630       |
Food Category No. 01.2.1.2
Fermented milks (plain), heat-treated after fermentation
| Additive                                   | INS     |   Year Adopted | Max Level   | Notes     |
|--------------------------------------------|---------|----------------|-------------|-----------|
| GELLAN GUM                                 | 418(i)  |           2013 | GMP         | 234       |
| GLUCONO DELTA-LACTONE                      | 575     |           2024 | GMP         | 631       |
| GUAR GUM                                   | 412     |           2013 | GMP         | 234       |
| GUM ARABIC (ACACIA GUM)                    | 414     |           2013 | GMP         | 234       |
| HYDROXYPROPYL CELLULOSE                    | 463     |           2013 | GMP         | 234       |
| HYDROXYPROPYL DISTARCH PHOSPHATE           | 1442    |           2024 | GMP         | 234 & 634 |
| HYDROXYPROPYL METHYL CELLULOSE             | 464     |           2013 | GMP         | 234       |
| HYDROXYPROPYL STARCH                       | 1440    |           2013 | GMP         | 234       |
| KARAYA GUM                                 | 416     |           2013 | GMP         | 234       |
| KONJAC FLOUR                               | 425     |           2013 | GMP         | 234       |
| LACTIC ACID, L-, D- and DL-                | 270     |           2024 | GMP         | 630       |
| LACTIC AND FATTY ACID ESTERS OF GLYCEROL   | 472b    |           2013 | GMP         | 234       |
| MAGNESIUM CARBONATE                        | 504(i)  |           2024 | GMP         | 631       |
| MAGNESIUM CHLORIDE                         | 511     |           2013 | GMP         | 234       |
| MAGNESIUM HYDROXIDE                        | 528     |           2024 | GMP         | 631       |
| MAGNESIUM HYDROXIDE CARBONATE              | 504(ii) |           2024 | GMP         | 631       |
| MAGNESIUM LACTATE, DL-                     | 329     |           2024 | GMP         | 631       |
| MAGNESIUM OXIDE                            | 530     |           2024 | GMP         | 631       |
| MALIC ACID, DL-                            | 296     |           2024 | GMP         | 631       |
| METHYL CELLULOSE                           | 461     |           2013 | GMP         | 234       |
| METHYL ETHYL CELLULOSE                     | 465     |           2013 | GMP         | 234       |
| MICROCRYSTALLINE CELLULOSE (CELLULOSE GEL) | 460(i)  |           2013 | GMP         | 234       |
| MONO- AND DI-GLYCERIDES OF FATTY ACIDS     | 471     |           2015 | GMP         | 234       |
| MONOSTARCH PHOSPHATE                       | 1410    |           2013 | GMP         | 234       |
| NITROGEN                                   | 941     |           2014 | GMP         | 59        |
| NITROUS OXIDE                              | 942     |           2014 | GMP         | 59        |
| OXIDIZED STARCH                            | 1404    |           2013 | GMP         | 234       |
| PECTINS                                    | 440     |           2013 | GMP         | 234       |
| PHOSPHATED DISTARCH PHOSPHATE              | 1413    |           2013 | GMP         | 234       |
| POLYDEXTROSES                              | 1200    |           2015 | GMP         | 234       |
| POTASSIUM ACETATE                          | 261(i)  |           2024 | GMP         | 631       |
| POTASSIUM ALGINATE                         | 402     |           2013 | GMP         | 234       |
| POTASSIUM CARBONATE                        | 501(i)  |           2024 | GMP         | 234 & 631 |
| POTASSIUM CHLORIDE                         | 508     |           2024 | GMP         | 234 & 634 |
| POTASSIUM DIHYDROGEN CITRATE               | 332(i)  |           2024 | GMP         | 631       |
Food Category No.
01.2.1.2 Fermented milks (plain), heat-treated after
fermentation
| Additive                                                                                           | INS               |   Year Adopted | Max Level   | Notes       |
|----------------------------------------------------------------------------------------------------|-------------------|----------------|-------------|-------------|
| POTASSIUM GLUCONATE                                                                                | 577               |           2024 | GMP         | 631         |
| POTASSIUM HYDROGEN CARBONATE                                                                       | 501(ii)           |           2024 | GMP         | 631         |
