Food Category No. 04.2.2.4
Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds
| Additive                            | INS                                                                                                                                     |   Year Adopted | Max Level   | Notes                                               |
|-------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------|----------------|-------------|-----------------------------------------------------|
| FAST GREEN FCF                      | 143                                                                                                                                     |           2024 | 200mg/kg    | XS57                                                |
| NEOTAME                             | 961                                                                                                                                     |           2024 | 33mg/kg     | 478 & XS57                                          |
| PHOSPHATES                          | 338; 339(i)-(iii); 340(i)- (iii); 341(i)-(iii); 342(i)- (ii); 343(i)-(iii); 450(i)- (iii),(v)-(vii), (ix); 451(i),(ii); 452(i)-(v); 542 |           2024 | 2200mg/kg   | 33 & XS57                                           |
| POLYDIMETHYLSILOXANE                | 900a                                                                                                                                    |           2024 | 10mg/kg     | XS57                                                |
| SACCHARINS                          | 954(i)-(iv)                                                                                                                             |           2024 | 160mg/kg    | 500, 144, 477 & XS57                                |
| STANNOUS CHLORIDE                   | 512                                                                                                                                     |           2024 | 25mg/kg     | 43 & XS57                                           |
| STEVIOL GLYCOSIDES                  | 960a, 960b, 960c, 960d                                                                                                                  |           2024 | 70mg/kg     | 26, 477 & XS57                                      |
| SUCRALOSE (TRICHLOROGALACTOSUCROSE) | 955                                                                                                                                     |           2024 | 580mg/kg    | 478 & XS57                                          |
| SULFITES                            | 220-225, 539                                                                                                                            |           2024 | 50mg/kg     | 44 & XS57                                           |
| TARTRATES                           | 334, 335(ii), 337                                                                                                                       |           2017 | 1300mg/kg   | 45, XS13, XS38, XS57, XS145, XS257R, XS259R & XS297 |
Food Category No. 04.2.2.5
Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)
| Additive                                          | INS                  |   Year Adopted | Max Level   | Notes              |
|---------------------------------------------------|----------------------|----------------|-------------|--------------------|
| ACESULFAME POTASSIUM                              | 950                  |           2024 | 1000mg/kg   | 188, 478 & XS57    |
| ADVANTAME                                         | 969                  |           2024 | 10mg/kg     | 478, XS57 & XS257R |
| ASPARTAME                                         | 951                  |           2024 | 1000mg/kg   | 191, 478 & XS57    |
| ASPARTAME-ACESULFAME SALT                         | 962                  |           2024 | 1000mg/kg   | 119, 477 & XS57    |
| BENZOATES                                         | 210-213              |           2001 | 1000mg/kg   | 13 & XS57          |
| CARAMEL III - AMMONIA CARAMEL                     | 150c                 |           2024 | 50000mg/kg  | XS57               |
| CARMINES                                          | 120                  |           2024 | 100mg/kg    | 178 & XS57         |
| CAROTENES, BETA-                                  | 160a(i),a(iii),a(iv) |           2024 | 50mg/kg     | 341, 344 & XS57    |
| CAROTENES, BETA-, VEGETABLE                       | 160a(ii)             |           2024 | 50mg/kg     | 341, 344 & XS57    |
| CHLOROPHYLLS AND CHLOROPHYLLINS, COPPER COMPLEXES | 141(i),(ii)          |           2024 | 100mg/kg    | 62 & XS57          |
| ETHYLENE DIAMINE TETRA ACETATES                   | 385, 386             |           2024 | 250mg/kg    | 21 & XS57          |
| GRAPE SKIN EXTRACT                                | 163(ii)              |           2024 | 100mg/kg    | 179, 181 & XS57    |
| HYDROXYBENZOATES, PARA-                           | 214, 218             |           2024 | 1000mg/kg   | 27 & XS57          |
Food Category No. 04.2.2.5
Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)
| Additive                            | INS                                                                                                                                     |   Year Adopted | Max Level   | Notes           |
|-------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------|----------------|-------------|-----------------|
| NEOTAME                             | 961                                                                                                                                     |           2024 | 33mg/kg     | 478 & XS57      |
| PHOSPHATES                          | 338; 339(i)-(iii); 340(i)- (iii); 341(i)-(iii); 342(i)- (ii); 343(i)-(iii); 450(i)- (iii),(v)-(vii), (ix); 451(i),(ii); 452(i)-(v); 542 |           2024 | 2200mg/kg   | 33, 76 & XS57   |
| POLYDIMETHYLSILOXANE                | 900a                                                                                                                                    |           2024 | 10mg/kg     | XS57            |
| SACCHARINS                          | 954(i)-(iv)                                                                                                                             |           2024 | 160mg/kg    | 500, 477 & XS57 |
| SORBATES                            | 200, 202, 203                                                                                                                           |           2024 | 1000mg/kg   | 42 & XS57       |
| STEVIOL GLYCOSIDES                  | 960a, 960b, 960c, 960d                                                                                                                  |           2024 | 330mg/kg    | 26, 477 & XS57  |
| SUCRALOSE (TRICHLOROGALACTOSUCROSE) | 955                                                                                                                                     |           2024 | 400mg/kg    | 169, 478 & XS57 |
| SULFITES                            | 220-225, 539                                                                                                                            |           2024 | 500mg/kg    | 44, 138 & XS57  |
| TOCOPHEROLS                         | 307a, b, c                                                                                                                              |           2017 | 300mg/kg    | XS57            |
Food Category No. 04.2.2.6
Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5
| Additive                      | INS                  |   Year Adopted | Max Level   | Notes                                  |
|-------------------------------|----------------------|----------------|-------------|----------------------------------------|
| ACESULFAME POTASSIUM          | 950                  |           2024 | 350mg/kg    | 188, 478, XS57 & XS308R                |
| ADVANTAME                     | 969                  |           2023 | 10mg/kg     | 478, XS38, XS57, XS259R, XS308R, XS321 |
| ALLURA RED AC                 | 129                  |           2024 | 200mg/kg    | 92, 161, XS57 & XS308R                 |
| ASPARTAME                     | 951                  |           2024 | 1000mg/kg   | 191, 478, XS57 & XS308R                |
| ASPARTAME-ACESULFAME SALT     | 962                  |           2024 | 350mg/kg    | 113, 477, XS57 & XS308R                |
| BENZOATES                     | 210-213              |           2024 | 3000mg/kg   | 13, XS57 & XS308R                      |
| BRILLIANT BLUE FCF            | 133                  |           2024 | 100mg/kg    | 92, 161, XS57 & XS308R                 |
| CARAMEL III - AMMONIA CARAMEL | 150c                 |           2024 | 50000mg/kg  | 161, XS57 & XS308R                     |
| CARMINES                      | 120                  |           2024 | 200mg/kg    | 92, 178, XS57 & XS308R                 |
