Food Category No. 14.1.4.3
Concentrates (liquid or solid) for waterbased flavoured drinks
| Additive                       | INS         |   Year Adopted | Max Level   | Notes          |
|--------------------------------|-------------|----------------|-------------|----------------|
| CANTHAXANTHIN                  | 161g        |           2011 | 5mg/kg      | 127            |
| FERRIC AMMONIUM CITRATE        | 381         |           1999 | 10mg/kg     | 23             |
| LAURIC ARGINATE ETHYL ESTER    | 243         |           2011 | 50mg/kg     | 127            |
| POLYVINYLPYRROLIDONE           | 1201        |           1999 | 500mg/kg    |                |
| PROPYLENE GLYCOL ALGINATE      | 405         |           2018 | 500mg/kg    | 127            |
| SACCHARINS                     | 954(i)-(iv) |           2008 | 300mg/kg    | 500, 127 & 161 |
| SORBITAN ESTERS OF FATTY ACIDS | 491-495     |           2018 | 500mg/kg    | 127            |
Food Category No. 14.1.5
Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa
| Additive                                 | INS     |   Year Adopted | Max Level   | Notes          |
|------------------------------------------|---------|----------------|-------------|----------------|
| ACESULFAME POTASSIUM                     | 950     |           2007 | 600mg/kg    | 160, 161 & 188 |
| ACETIC ACID, GLACIAL                     | 260     |           2013 | GMP         | 160            |
| ACETIC AND FATTY ACID ESTERS OF GLYCEROL | 472a    |           2014 | GMP         | 160            |
| ACETYLATED DISTARCH ADIPATE              | 1422    |           2014 | GMP         | 160            |
| ACETYLATED DISTARCH PHOSPHATE            | 1414    |           2014 | GMP         | 160            |
| ACID-TREATED STARCH                      | 1401    |           2014 | GMP         | 160            |
| ADVANTAME                                | 969     |           2021 | 6mg/kg      | 160 & 478      |
| AGAR                                     | 406     |           2014 | GMP         | 160            |
| ALGINIC ACID                             | 400     |           2014 | GMP         | 160            |
| ALKALINE TREATED STARCH                  | 1402    |           2014 | GMP         | 160            |
| ASCORBIC ACID, L-                        | 300     |           2013 | GMP         | 160            |
| ASPARTAME                                | 951     |           2023 | 600mg/kg    | 160, 191 & 478 |
| ASPARTAME-ACESULFAME SALT                | 962     |           2021 | 600mg/kg    | 119, 160 & 477 |
| BEESWAX                                  | 901     |           2001 | GMP         | 108            |
| BENZOATES                                | 210-213 |           2004 | 1000mg/kg   | 13             |
| BLEACHED STARCH                          | 1403    |           2014 | GMP         | 160            |
| CALCIUM CARBONATE                        | 170(i)  |           2013 | GMP         | 160            |
| CALCIUM CHLORIDE                         | 509     |           2014 | GMP         | 160            |
| CALCIUM LACTATE                          | 327     |           2013 | GMP         | 160            |
| CANDELILLA WAX                           | 902     |           2001 | GMP         | 108            |
| CARAMEL I - PLAIN CARAMEL                | 150a    |           2021 | GMP         | 160 & 201      |
| CARAMEL III - AMMONIA CARAMEL            | 150c    |           2010 | 10000mg/kg  | 7 & 160        |
| CARAMEL IV - SULFITE AMMONIA CARAMEL     | 150d    |           2011 | 10000mg/kg  | 7 & 127        |
| CARBON DIOXIDE                           | 290     |           2015 | GMP         | 59 & 160       |
| CARNAUBA WAX                             | 903     |           2006 | 200mg/kg    | 108            |
Food Category No. 14.1.5
Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa
| Additive                                           | INS      |   Year Adopted | Max Level   | Notes          |
|----------------------------------------------------|----------|----------------|-------------|----------------|
| CAROB BEAN GUM                                     | 410      |           2014 | GMP         | 160            |
| CARRAGEENAN                                        | 407      |           2014 | GMP         | 160            |
| CITRIC ACID                                        | 330      |           2013 | GMP         | 160            |
| CITRIC AND FATTY ACID ESTERS OF GLYCEROL           | 472c     |           2014 | GMP         | 160            |
| DEXTRINS, ROASTED STARCH                           | 1400     |           2014 | GMP         | 90 & 160       |
| DIACETYLTARTARIC AND FATTY ACID ESTERS OF GLYCEROL | 472e     |           2006 | 500mg/kg    | 142            |
| DIMETHYL DICARBONATE                               | 242      |           2004 | 250mg/kg    | 18             |
| DISODIUM 5'-GUANYLATE                              | 627      |           2015 | GMP         | 201            |
| DISODIUM 5'-INOSINATE                              | 631      |           2015 | GMP         | 201            |
| DISODIUM 5'-RIBONUCLEOTIDES                        | 635      |           2015 | GMP         | 201            |
| DISTARCH PHOSPHATE                                 | 1412     |           2014 | GMP         | 160            |
| ERYTHRITOL                                         | 968      |           2021 | 16000mg/kg  | 160, 381 & 478 |
| ETHYLENE DIAMINE TETRA ACETATES                    | 385, 386 |           2001 | 35mg/kg     | 21             |
| FUMARIC ACID                                       | 297      |           2013 | GMP         | 160            |
| GELLAN GUM                                         | 418(i)   |           2014 | GMP         | 160            |
| GLYCEROL                                           | 422      |           2015 | GMP         | 160            |
| GUAR GUM                                           | 412      |           2014 | GMP         | 160            |
| GUM ARABIC (ACACIA GUM)                            | 414      |           2014 | GMP         | 160            |
| HYDROXYBENZOATES, PARA-                            | 214, 218 |           2012 | 450mg/kg    | 27 & 160       |
| HYDROXYPROPYL CELLULOSE                            | 463      |           2014 | GMP         | 160            |
| HYDROXYPROPYL DISTARCH PHOSPHATE                   | 1442     |           2014 | GMP         | 160            |
| HYDROXYPROPYL METHYL CELLULOSE                     | 464      |           2014 | GMP         | 160            |
| HYDROXYPROPYL STARCH                               | 1440     |           2014 | GMP         | 160            |
| KARAYA GUM                                         | 416      |           2014 | GMP         | 160            |
| KONJAC FLOUR                                       | 425      |           2014 | GMP         | 160            |
| LACTIC AND FATTY ACID ESTERS OF GLYCEROL           | 472b     |           2014 | GMP         | 160            |
| LECITHIN                                           | 322(i)   |           2014 | GMP         | 160            |
| MAGNESIUM CARBONATE                                | 504(i)   |           2013 | GMP         | 160            |
