|   INS No | Additive                            | Functional Class                                                                                   |   Year Adopted | Specific allowance in the following commodity standards 1                                                                                                                                                                                                               |
|----------|-------------------------------------|----------------------------------------------------------------------------------------------------|----------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|     1442 | Hydroxypropyl distarch phosphate    | Anticaking agent, Emulsifier, Stabilizer, Thickener                                                |           1999 | CS 70-1981, CS 94-1981, CS 119-1981, CS 249-2006, CS 221-2001, CS 273-1968, CS 275-1973, CS 253-2006 (see functional class table and footnote), CS 243-2003 (stabilizer or thickener only), CS 288-1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6) only) |
|      464 | Hydroxypropyl methyl cellulose      | Bulking agent, Emulsifier, Glazing agent, Stabilizer, Thickener                                    |           1999 | CS 253-2006 (see functional class table and footnote), CS 243-2003 (emulsifier, stabilizer or thickener only), CS 288- 1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6) only)                                                                             |
|     1440 | Hydroxypropyl starch                | Emulsifier, Stabilizer, Thickener                                                                  |           1999 | CS 70-1981, CS 94-1981, CS 119-1981, CS 249-2006, CS 221-2001, CS 273-1968, CS 275-1973, CS 253-2006 (see functional class table and footnote), CS 243-2003 (stabilizer or thickener only), CS 288-1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6) only) |
|      630 | Inosinic acid, 5'-                  | Flavour enhancer                                                                                   |           1999 | CS 302-2011, CS 243-2003                                                                                                                                                                                                                                                |
|      953 | Isomalt (Hydrogenated isomaltulose) | Anticaking agent, Bulking agent, Flavour enhancer, Glazing agent, Stabilizer, Sweetener, Thickener |           1999 | CS 87-1981, CS 105-1981, CS 243-2003 (sweetener only, limited to milk- and milk derivative-based products energy reduced or with no added sugar)                                                                                                                        |
|      416 | Karaya gum                          | Emulsifier, Stabilizer, Thickener                                                                  |           1999 | CS 105-1981, CS 249-2006, CS 221-2001, CS 273-1968, CS 275-1973, CS 262-2006 (for use in cheese mass only), CS 243-2003 (stabilizer or thickener only)                                                                                                                  |
|      425 | Konjac flour                        | Carrier, Emulsifier, Gelling agent, Glazing agent, Humectant, Stabilizer, Thickener                |           1999 | CS 243-2003 (stabilizer or thickener only)                                                                                                                                                                                                                              |
| INS No    | Additive                                 | Functional Class                               |   Year Adopted | Specific allowance in the following commodity standards 1                                                                                                                                                                                                                                                               |
|-----------|------------------------------------------|------------------------------------------------|----------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
