| Codex standard   | Processed tomato concentrates (CODEX STAN 57-1981)                                                                                                                                                                                                                                           |
|------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 04.2.2.5         | Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter))                                                                                                                          |
| Codex standard   | conforming to these standards. tomato concentrates (CODEX STAN 57-1981)                                                                                                                                                                                                                      |
|                  | Processed                                                                                                                                                                                                                                                                                    |
|                  | (including mushrooms and fungi, roots and tubers, pulses and legumes, and vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts sauces, candied vegetables) other than food category 04.2.2.5 additives are not permitted in products conforming to this standard |
| Codex standard   | conforming to these standards. Processed tomato concentrates (CODEX STAN 57-1981)                                                                                                                                                                                                            |
| 04.2.2.6         | Vegetable aloe and Food                                                                                                                                                                                                                                                                      |
| Codex standard   | Harissa (Red Hot Pepper Paste) (CXS 308R-2011)                                                                                                                                                                                                                                               |
| 04.2.2.8         | Cooked or fried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds Acidity regulators, anticaking agents, flavour enhancers, sweeteners, thickeners and                                                                           |
| Codex standard   | Laver Products (CXS 323R-2017)                                                                                                                                                                                                                                                               |
| 05.1.1           | Cocoa mixes (powders) and cocoa mass/cake Only certain Table 3 food additives (as indicated in Table 3) are acceptable for use in foods conforming to these standards.                                                                                                                       |
| Codex standards  | Cocoa powders (cocoas) and dry mixtures of cocoa and sugars (CODEX STAN 105-1981) and Cocoa (cacoa) mass (cocoa/chocolate liquor) and cocoa cake (CODEX STAN 141- 1983)                                                                                                                      |
| 05.1.4           | Cocoa and chocolate products Only certain Table 3 food additives (as indicated in Table 3) are acceptable for use in foods                                                                                                                                                                   |
| Codex            | Chocolate and chocolate products (CODEX STAN 87-1981)                                                                                                                                                                                                                                        |
| standard         |                                                                                                                                                                                                                                                                                              |
| 05.2.2 Codex     | Soft candy Acidity regulators and emulsifiers listed in Table 3 are acceptable for use in foods conforming to this Standard .                                                                                                                                                                |
|                  | Halwa tehenia (CODEX STAN 309R-2011) (regional standard)                                                                                                                                                                                                                                     |
| standard         |                                                                                                                                                                                                                                                                                              |
| 06.4.3           | Pre-cooked pastas and noodles and like products Only certain Table 3 food additives (as indicated in Table 3) are acceptable for use in foods conforming to this Standard.                                                                                                                   |
| Codex standard   | Instant Noodles (CXS 249-2006)                                                                                                                                                                                                                                                               |
| 06.8.6          | Fermented soybeans (e,g, natto, tempe)                                                                                                                                                                                                                                                                                                                    |
|-----------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                 | Food additives are not permitted in products conforming to this standard                                                                                                                                                                                                                                                                                  |
| Codex standard  | Tempe (CXS 313R-2013) (regional standard)                                                                                                                                                                                                                                                                                                                 |
| 06.8.8          | Other soybean protein products                                                                                                                                                                                                                                                                                                                            |
|                 | Food additives are not permitted in products conforming to this standard.                                                                                                                                                                                                                                                                                 |
| Codex standard  | Soy Protein Products (CXS 175-1989)                                                                                                                                                                                                                                                                                                                       |
| 08.2.2          | Heat-treated processed meat, poultry, and game products in whole pieces or cuts                                                                                                                                                                                                                                                                           |
|                 | Only certain Table 3 food additives (as indicated in Table 3) are acceptable for use in foods conforming to these standards.                                                                                                                                                                                                                              |
| Codex standards | Cooked cured ham (CODEX STAN 96-1981) and Cured pork shoulder (CODEX STAN 97- 1981)                                                                                                                                                                                                                                                                       |
| 08.3.2          | Heat-treated processed comminuted meat, poultry, and game products                                                                                                                                                                                                                                                                                        |
|                 | Only certain Table 3 food additives (as indicated in Table 3) are acceptable for use in foods conforming to these standards.                                                                                                                                                                                                                              |
| Codex standards | Corned beef (CODEX STAN 88-1981), Luncheon meat (CODEX STAN 89-1981), and Cooked cured chopped meat (CODEX STAN 98-1981)                                                                                                                                                                                                                                  |
| 09.3.3          | Salmon substitutes, caviar, and other fish roe products                                                                                                                                                                                                                                                                                                   |
|                 | Acidity regulators, antioxidants and preservatives listed in Table 3 are acceptable for use in foods conforming to this standard.                                                                                                                                                                                                                         |
| Codex standard  | Sturgeon Caviar (CODEX STAN 291-2010)                                                                                                                                                                                                                                                                                                                     |
| 09.4            | Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms                                                                                                                                                                                                                                   |
|                 | Only certain Table 3 food additives (as indicated in Table 3) are acceptable for use in foods conforming to these standards.                                                                                                                                                                                                                              |
| Codex standards | Canned Shrimps or Prawns (CODEX STAN 37-1991) Canned Tuna and Bonito (CODEX STAN 70-1981) Canned Crab Meat (CODEX STAN 90-1981) Canned Sardines and Sardine-Type Products (CODEX STAN 94-1981) Canned Finfish (CODEX STAN 119-1981)                                                                                                                       |
| 12.2.1          | Herbs and spices (EXCLUDING SPICES)                                                                                                                                                                                                                                                                                                                       |
|                 | Table 3 additives are not permitted for use in products conforming to this standard.                                                                                                                                                                                                                                                                      |
| Codex Standard  | Black, White and Green Peppers (CXS 326-2017)                                                                                                                                                                                                                                                                                                             |
|                 | Anticaking agents listed in Table 3 are acceptable for use in ground cumin only, conforming to this standard.                                                                                                                                                                                                                                             |
| Codex standard  | Cumin (CXS 327-2017)                                                                                                                                                                                                                                                                                                                                      |
| 12.5            | Soups and broths                                                                                                                                                                                                                                                                                                                                          |
|                 | Acidity regulators, anticaking agents (in dehydrated product only), antifoaming agents, antioxidants, colours, emulsifiers, flavour enhancers, humectants, packaging gases, preservatives, stabilizers, sweeteners, thickeners and only certain carriers and glazing agents listed in Table 3 are acceptable for use in foods conforming to the standard. |
| Standard        |                                                                                                                                                                                                                                                                                                                                                           |
| 12.6.2          | Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy) Acidity regulators, antioxidants, colours, flavour enhancers, preservatives, sweeteners and                                                                                                                                                                                  |
| Codex standard   | Chili sauce (CXS 306-2011)                                                                                                                      |
|------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|
| 12.6.4           | Clear sauces (e.g. fish sauce)                                                                                                                  |
|                  | Only certain Table 3 food additives (as indicated in Table 3) are acceptable for use in foods conforming to this Standard.                      |
| Codex standard   | Fish Sauce (CODEX STAN 302-2011)                                                                                                                |
| 12.10            | Protein products other than from soybeans                                                                                                       |
|                  | Food additives are not permitted in products conforming to this standard.                                                                       |
| Codex standards  | Wheat Protein Products Including Wheat Gluten (CXS 163-1987), Vegetable Protein Products (VPP) (CXS 174-1989)                                   |
| 13.3             | Dietetic foods intended for special medical purposes (excluding products of food category 13.1)                                                 |
|                  | Only certain Table 3 additives (as indicated in Table 3) are acceptable for use in foods conforming to these standards.                         |
| Codex Guideline  | Guidelines for Ready to Use Therapeutic Foods (CXG 95-2022)                                                                                     |
| 13.4             | Dietetic formulae for sliming purposes and weight reduction                                                                                     |
|                  | Food additives listed in Table 3 are acceptable for use in foods conforming to the standard.                                                    |
| Codex Standards  | Formula foods for use in weight control diets (CXS 181-1991) Formula foods for use in very low energy diets for weight reduction (CXS 203-1995) |
